"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"14","69.6"," CLOSED"," ON","    00:03:00","18.89","20.449897750511","0"
"14","69.6"," CLOSED"," ON","    00:03:03","18.89","20.449897750511","0"
"14","69.5"," CLOSED"," ON","    00:03:05","18.89","20.449897750511","0"
"14","69.4"," CLOSED"," ON","    00:03:08","18.89","20.449897750511","0"
"14","69.4"," CLOSED"," ON","    00:03:11","18.89","20.449897750511","0"
"13.9","69.4"," CLOSED"," ON","    00:03:13","18.89","20.040080160321","0"
"14","69.4"," CLOSED"," ON","    00:03:16","18.89","20.449897750511","0"
"14","69.2"," CLOSED"," ON","    00:03:18","18.89","20.449897750511","0"
"14","69"," CLOSED"," ON","    00:03:21","18.89","20.449897750511","0"
"14","69"," CLOSED"," ON","    00:03:24","18.89","20.449897750511","0"
"13.9","69"," CLOSED"," ON","    00:03:26","18.89","20.040080160321","0"
"14","69.1"," CLOSED"," ON","    00:03:29","18.89","20.449897750511","0"
"14","69.2"," CLOSED"," ON","    00:03:31","18.89","20.449897750511","0"
"14","69.1"," CLOSED"," ON","    00:03:34","18.89","20.449897750511","0"
"13.9","69"," CLOSED"," ON","    00:03:36","18.89","20.040080160321","0"
"13.9","68.9"," CLOSED"," ON","    00:03:39","18.89","20.040080160321","0"
"14","68.7"," CLOSED"," ON","    00:03:42","18.89","20.449897750511","0"
"13.9","68.6"," CLOSED"," ON","    00:03:44","18.89","20.040080160321","0"
"13.9","68.7"," CLOSED"," ON","    00:03:47","18.89","20.040080160321","0"
"14","68.9"," CLOSED"," ON","    00:03:49","18.89","20.449897750511","0"
"14","68.9"," CLOSED"," ON","    00:03:52","18.89","20.449897750511","0"
"13.9","68.7"," CLOSED"," ON","    00:03:55","18.89","20.040080160321","0"
"13.9","68.7"," CLOSED"," ON","    00:03:57","18.89","20.040080160321","0"
"13.9","68.6"," CLOSED"," ON","    00:04:00","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:04:02","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:05","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:07","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:04:10","18.89","20.040080160321","0"
"13.9","68.3"," CLOSED"," ON","    00:04:13","18.89","20.040080160321","0"
"13.9","68.3"," CLOSED"," ON","    00:04:15","18.89","20.040080160321","0"
"13.9","68.3"," CLOSED"," ON","    00:04:18","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:20","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:23","18.89","20.040080160321","0"
"13.9","68.3"," CLOSED"," ON","    00:04:26","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:04:28","18.89","20.040080160321","0"
"13.9","68.5"," CLOSED"," ON","    00:04:31","18.89","20.040080160321","0"
"13.9","68.5"," CLOSED"," ON","    00:04:33","18.89","20.040080160321","0"
"13.9","68.5"," CLOSED"," ON","    00:04:36","18.89","20.040080160321","0"
"13.9","68.6"," CLOSED"," ON","    00:04:38","18.89","20.040080160321","0"
"13.9","68.6"," CLOSED"," ON","    00:04:41","18.89","20.040080160321","0"
"13.9","68.5"," CLOSED"," ON","    00:04:44","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:46","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:49","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:51","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:54","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:04:57","18.89","20.040080160321","0"
"13.9","68.3"," CLOSED"," ON","    00:04:59","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:02","18.89","20.040080160321","0"
"13.9","68.3"," CLOSED"," ON","    00:05:04","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:07","18.89","20.040080160321","0"
"13.9","68.5"," CLOSED"," ON","    00:05:09","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:12","18.89","20.040080160321","0"
"13.9","68.2"," CLOSED"," ON","    00:05:15","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:17","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:20","18.89","20.040080160321","0"
"13.8","68.3"," CLOSED"," ON","    00:05:22","18.89","19.646365422397","0"
"13.9","68.4"," CLOSED"," ON","    00:05:25","18.89","20.040080160321","0"
"13.9","68.5"," CLOSED"," ON","    00:05:28","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:30","18.89","20.040080160321","0"
"13.9","68.4"," CLOSED"," ON","    00:05:33","18.89","20.040080160321","0"
"13.8","68.4"," CLOSED"," ON","    00:05:35","18.89","19.646365422397","0"
"13.9","68.4"," CLOSED"," ON","    00:05:38","18.89","20.040080160321","0"
"13.8","68.5"," CLOSED"," ON","    00:05:41","18.89","19.646365422397","0"
"13.9","68.7"," CLOSED"," ON","    00:05:43","18.89","20.040080160321","0"
"13.9","68.6"," CLOSED"," ON","    00:05:46","18.89","20.040080160321","0"
"13.9","68.6"," CLOSED"," ON","    00:05:48","18.89","20.040080160321","0"
"13.8","68.5"," CLOSED"," ON","    00:05:51","18.89","19.646365422397","0"
"13.8","68.5"," CLOSED"," ON","    00:05:53","18.89","19.646365422397","0"
"13.9","68.5"," CLOSED"," ON","    00:05:56","18.89","20.040080160321","0"
"13.9","68.6"," CLOSED"," ON","    00:05:59","18.89","20.040080160321","0"
"13.8","68.6"," CLOSED"," ON","    00:06:01","18.89","19.646365422397","0"
"13.9","68.6"," CLOSED"," ON","    00:06:04","18.89","20.040080160321","0"
"13.8","68.5"," CLOSED"," ON","    00:06:06","18.89","19.646365422397","0"
"13.9","68.6"," CLOSED"," ON","    00:06:09","18.89","20.040080160321","0"
"13.8","68.6"," CLOSED"," ON","    00:06:12","18.89","19.646365422397","0"
"13.8","68.6"," CLOSED"," ON","    00:06:14","18.89","19.646365422397","0"
"13.8","68.7"," CLOSED"," ON","    00:06:17","18.89","19.646365422397","0"
"13.8","68.9"," CLOSED"," ON","    00:06:19","18.89","19.646365422397","0"
"13.8","68.7"," CLOSED"," ON","    00:06:22","18.89","19.646365422397","0"
