TIME,Power_final
00:00:02,12.741228
00:00:04,12.741205
00:00:07,12.741205
00:00:10,12.74125
00:00:12,12.741273
00:00:15,12.74125
00:00:17,12.741205
00:00:20,12.741228
00:00:23,12.74125
00:00:25,12.74125
00:00:28,12.741273
00:00:30,12.741297
00:00:33,12.741343
00:00:35,12.741343
00:00:38,12.741343
00:00:41,12.741343
00:00:43,12.741321
00:00:46,12.741321
00:00:48,12.741343
00:00:51,12.741343
00:00:54,12.741343
00:00:56,12.741366
00:00:59,12.691315
00:01:01,12.741458
00:01:04,12.741482
00:01:06,12.691406
00:01:09,12.691429
00:01:12,12.741505
00:01:14,12.741527
00:01:17,12.741551
00:01:19,12.741596
00:01:22,12.6915455
00:01:25,12.691523
00:01:27,12.691523
00:01:30,12.691523
00:01:32,12.691523
00:01:35,12.691523
00:01:38,12.691545
00:01:40,12.691568
00:01:43,12.691638
00:01:45,12.691683
00:01:48,12.691707
00:01:50,12.741804
00:01:53,12.691752
00:01:56,12.691752
00:01:58,12.691775
00:02:01,12.691823
00:02:03,12.691775
00:02:06,12.691823
00:02:09,12.691869
00:02:11,12.691891
00:02:14,12.691869
00:02:16,12.691869
00:02:19,12.691891
00:02:21,12.691891
00:02:24,12.691845
00:02:27,12.691869
00:02:29,12.691891
00:02:32,12.691915
00:02:34,12.691915
00:02:37,12.691891
00:02:40,12.691891
00:02:42,12.691891
00:02:45,12.691868
00:02:47,12.691891
00:02:50,12.691937
00:02:52,12.691937
00:02:55,12.691915
00:02:58,12.641863
00:03:00,12.691937
00:03:03,12.691937
00:03:05,12.691959
00:03:08,12.691982
00:03:11,12.691982
00:03:13,12.641909
00:03:16,12.691982
00:03:18,12.69203
00:03:21,12.692076
00:03:24,12.692076
00:03:26,12.642001
00:03:29,12.692053
00:03:31,12.69203
00:03:34,12.692053
00:03:36,12.642001
00:03:39,12.642024
00:03:42,12.692145
00:03:44,12.642094
00:03:47,12.642071
00:03:49,12.692099
00:03:52,12.692099
00:03:55,12.642071
00:03:57,12.642071
00:04:00,12.642094
00:04:02,12.642139
00:04:05,12.642185
00:04:07,12.642185
00:04:10,12.642139
00:04:13,12.642161
00:04:15,12.642161
00:04:18,12.642161
00:04:20,12.642186
00:04:23,12.642186
00:04:26,12.642161
00:04:28,12.642139
00:04:31,12.642117
00:04:33,12.642117
00:04:36,12.642117
00:04:38,12.642094
00:04:41,12.642094
00:04:44,12.642117
00:04:46,12.642186
00:04:49,12.642186
00:04:51,12.642186
00:04:54,12.642186
00:04:57,12.642186
00:04:59,12.642161
00:05:02,12.642139
00:05:04,12.642161
00:05:07,12.642139
00:05:09,12.642117
00:05:12,12.642139
00:05:15,12.642186
00:05:17,12.642139
00:05:20,12.642139
00:05:22,12.592087
00:05:25,12.642139
00:05:28,12.642116
00:05:30,12.642139
00:05:33,12.642139
00:05:35,12.592066
00:05:38,12.642139
00:05:41,12.592043
00:05:43,12.642071
00:05:46,12.642094
00:05:48,12.642094
00:05:51,12.592043
00:05:53,12.592043
00:05:56,12.642117
00:05:59,12.642094
00:06:01,12.592019
00:06:04,12.642094
00:06:06,12.592043
00:06:09,12.642094
00:06:12,12.592019
00:06:14,12.592019
00:06:17,12.591996
00:06:19,12.591949
00:06:22,12.591996
00:06:24,12.642071
00:06:27,12.642024
00:06:30,12.642001
00:06:32,12.591904
00:06:35,12.641909
00:06:37,12.6419325
00:06:40,12.591904
00:06:43,12.641979
00:06:45,12.591904
00:06:48,12.591858
00:06:50,12.641886
00:06:53,12.591833
00:06:56,12.641909
00:06:58,12.591858
00:07:01,12.591812
00:07:03,12.591812
00:07:06,12.591834
00:07:08,12.591834
00:07:11,12.591812
00:07:14,12.591812
00:07:16,12.641886
00:07:19,12.591812
00:07:21,12.641886
00:07:24,12.591812
00:07:27,12.591812
00:07:29,12.591834
00:07:32,12.591812
00:07:34,12.591812
00:07:37,12.591812
00:07:39,12.591812
00:07:42,12.591812
00:07:45,12.591812
00:07:47,12.64184
00:07:50,12.5917425
00:07:52,12.591764
00:07:55,12.591788
00:07:58,12.591788
00:08:00,12.5917425
00:08:03,12.59172
00:08:05,12.59172
00:08:08,12.591697
00:08:10,12.591697
00:08:13,12.591673
00:08:16,12.591627
00:08:18,12.591604
00:08:21,12.5915575
00:08:23,12.5915575
00:08:26,12.5915575
00:08:29,12.5915575
00:08:31,12.591581
00:08:34,12.591581
00:08:36,12.5915575
00:08:39,12.591512
00:08:41,12.591512
00:08:44,12.591512
00:08:47,12.591534
00:08:49,12.591512
00:08:52,12.591512
00:08:54,12.591534
00:08:57,12.5915575
00:09:00,12.591534
00:09:02,12.591489
00:09:05,12.591512
00:09:07,12.541484
00:09:10,12.591512
00:09:13,12.591489
00:09:15,12.591489
00:09:18,12.5915575
00:09:20,12.591534
00:09:23,12.591489
00:09:25,12.591466
00:09:28,12.591442
00:09:31,12.591419
00:09:33,12.591442
00:09:36,12.591466
00:09:38,12.591466
00:09:41,12.591442
00:09:44,12.591419
00:09:46,12.591396
00:09:49,12.591373
00:09:51,12.591351
00:09:54,12.591373
00:09:56,12.591396
00:09:59,12.591396
00:10:02,12.591396
00:10:04,12.591373
00:10:07,12.591373
00:10:09,12.591396
00:10:12,12.591373
00:10:15,12.541323
00:10:17,12.591351
00:10:20,12.5413
00:10:22,12.591351
00:10:25,12.591351
00:10:27,12.591351
00:10:30,12.591351
00:10:33,12.591351
00:10:35,12.591328
00:10:38,12.591305
00:10:40,12.591328
00:10:43,12.591305
00:10:46,12.591305
00:10:48,12.591328
00:10:51,12.591305
00:10:53,12.59128
00:10:56,12.591257
00:10:59,12.591234
00:11:01,12.591188
00:11:04,12.591166
00:11:06,12.591166
00:11:09,12.591166
00:11:11,12.591189
00:11:14,12.591189
00:11:17,12.591213
00:11:19,12.591235
00:11:22,12.591213
00:11:24,12.591189
00:11:27,12.591166
00:11:30,12.591166
00:11:32,12.591144
00:11:35,12.541069
00:11:37,12.591119
00:11:40,12.591119
00:11:42,12.591119
00:11:45,12.591119
00:11:48,12.591119
00:11:50,12.591119
00:11:53,12.591144
00:11:55,12.591166
00:11:58,12.591144
00:12:01,12.591119
00:12:03,12.591097
00:12:06,12.591074
00:12:08,12.591051
00:12:11,12.540955
00:12:13,12.591028
00:12:16,12.591074
00:12:19,12.591074
00:12:21,12.59105
00:12:24,12.591028
00:12:26,12.5909815
00:12:29,12.5909815
00:12:32,12.591004
00:12:34,12.540955
00:12:37,12.591028
00:12:39,12.591028
00:12:42,12.591028
00:12:45,12.5909815
00:12:47,12.590959
00:12:50,12.540908
00:12:52,12.591004
00:12:55,12.591028
00:12:57,12.5909815
00:13:00,12.5909815
00:13:03,12.641033
00:13:05,12.590959
00:13:08,12.590959
00:13:10,12.590959
00:13:13,12.590959
00:13:16,12.590959
00:13:18,12.591028
00:13:21,12.591028
00:13:23,12.5909815
00:13:26,12.5909815
00:13:28,12.590935
00:13:31,12.590914
00:13:34,12.590866
00:13:36,12.590889
00:13:39,12.540838
00:13:41,12.590914
00:13:44,12.590913
00:13:47,12.590913
00:13:49,12.540838
00:13:52,12.590889
00:13:54,12.590866
00:13:57,12.590866
00:13:59,12.590843
00:14:02,12.59082
00:14:05,12.59082
00:14:07,12.59082
00:14:10,12.59082
00:14:12,12.590796
00:14:15,12.59082
00:14:18,12.590796
00:14:20,12.590796
00:14:23,12.590796
00:14:25,12.590796
00:14:28,12.59075
00:14:31,12.590727
00:14:33,12.590727
00:14:36,12.590704
00:14:38,12.590682
00:14:41,12.590682
00:14:43,12.590704
00:14:46,12.590682
00:14:49,12.590682
00:14:51,12.590682
00:14:54,12.590704
00:14:56,12.590682
00:14:59,12.640711
00:15:02,12.590635
00:15:04,12.590635
00:15:07,12.590612
00:15:09,12.590612
00:15:12,12.590612
00:15:14,12.59059
00:15:17,12.590612
00:15:20,12.59059
00:15:22,12.590612
00:15:25,12.590658
00:15:27,12.590635
00:15:30,12.590635
00:15:33,12.540585
00:15:35,12.590635
00:15:38,12.590635
00:15:40,12.590635
00:15:43,12.590635
00:15:45,12.590612
00:15:48,12.590612
00:15:51,12.590635
00:15:53,12.590612
00:15:56,12.59059
00:15:58,12.59059
00:16:01,12.590612
00:16:04,12.59059
00:16:06,12.59059
00:16:09,12.590612
00:16:11,12.540562
00:16:14,12.59059
00:16:17,12.590635
00:16:19,12.590682
00:16:22,12.540607
00:16:24,12.590682
00:16:27,12.590682
00:16:29,12.590705
00:16:32,12.590705
00:16:35,12.590704
00:16:37,12.590704
00:16:40,12.590682
00:16:42,12.590704
00:16:45,12.590727
00:16:48,12.590704
00:16:50,12.54063
00:16:53,12.540607
00:16:55,12.590658
00:16:58,12.590635
00:17:00,12.590704
00:17:03,12.590704
00:17:06,12.590704
00:17:08,12.590682
00:17:11,12.590682
00:17:13,12.590658
00:17:16,12.540585
00:17:19,12.540607
00:17:21,12.590682
00:17:24,12.54063
00:17:26,12.590727
00:17:29,12.590704
00:17:31,12.590704
00:17:34,12.590682
00:17:37,12.590682
00:17:39,12.540677
00:17:42,12.540699
00:17:44,12.540677
00:17:47,12.540677
00:17:50,12.540677
00:17:52,12.540699
