TIME,PowerSource,UsedPower
00:03:00,RES,-1.4051852226257324
00:04:00,RES,-1.3475940227508545
00:08:00,RES,-0.8677319884300232
00:09:00,RES,-0.7509793639183044
00:13:00,RES,-0.4576985239982605
00:17:00,RES,-0.3420625925064087
00:18:00,RES,-0.16461698710918427
00:22:00,RES,-0.8388538956642151
00:23:00,RES,-0.6513103246688843
00:27:00,RES,-0.45027416944503784
00:28:00,RES,-0.4405997395515442
00:32:00,RES,-0.55940181016922
00:33:00,RES,-0.5559914708137512
00:37:00,RES,-0.4157884120941162
00:38:00,RES,-0.42857760190963745
00:42:00,RES,-0.20428170263767242
00:43:00,RES,-0.34071868658065796
00:47:00,RES,-0.1618129462003708
00:48:00,RES,-0.1541391760110855
00:52:00,RES,-0.2704700827598572
00:53:00,RES,-0.13026680052280426
00:57:00,RES,-0.14305554330348969
00:58:00,RES,-0.01223081350326538
01:02:00,BES,0.09044261276721954
01:03:00,BES,0.09528537839651108
01:07:00,BES,0.25446876883506775
01:08:00,BES,0.1299913078546524
01:12:00,BES,0.11932695657014847
01:13:00,BES,0.11726956069469452
01:17:00,BES,0.11932695657014847
01:21:00,BES,0.22783362865447998
01:22:00,Grid,0.35876739025115967
01:26:00,Grid,0.3709508180618286
01:27:00,Grid,0.36066460609436035
01:32:00,BES,0.22045160830020905
01:33:00,Grid,0.21530881524085999
01:37:00,Grid,0.3462636470794678
01:38:00,Grid,0.36477988958358765
01:42:00,Grid,0.4985801577568054
01:43:00,Grid,0.4957342743873596
01:47:00,Grid,0.4607613682746887
01:48:00,Grid,0.45253169536590576
01:53:00,BES,0.03250527381896973
01:54:00,RES,-0.08302073180675507
01:59:00,Grid,0.20460540056228638
02:00:00,Grid,0.21489205956459045
02:01:00,Grid,0.2159205675125122
02:05:00,Grid,0.17888996005058289
02:06:00,Grid,0.17271779477596283
02:07:00,Grid,0.16346046328544617
02:11:00,Grid,0.14083094894886017
02:12:00,Grid,0.13671652972698212
02:13:00,BES,0.02324773371219635
02:18:00,Grid,0.30264490842819214
02:19:00,Grid,0.3160167336463928
02:24:00,Grid,0.28412938117980957
02:25:00,Grid,0.2779576778411865
02:26:00,Grid,0.382168710231781
02:30:00,Grid,0.246069997549057
02:31:00,Grid,0.2419557273387909
02:32:00,Grid,0.23886975646018982
02:36:00,Grid,0.27281492948532104
02:37:00,Grid,0.2903011739253998
02:38:00,Grid,0.4171416163444519
02:43:00,Grid,0.38936877250671387
02:44:00,Grid,0.3801114559173584
02:49:00,Grid,0.23886975646018982
02:50:00,Grid,0.3423047959804535
02:51:00,Grid,0.22961190342903137
02:56:00,Grid,0.38834047317504883
02:57:00,Grid,0.40376991033554077
03:02:00,Grid,0.524217426776886
03:03:00,Grid,0.4994174838066101
03:04:00,Grid,0.47813528776168823
03:09:00,Grid,0.3327449560165405
03:10:00,Grid,0.3279651403427124
03:15:00,Grid,0.37098342180252075
03:16:00,Grid,0.5269729495048523
