TIME,Predicted_Power_final
2024-11-10 00:00:00,12.704681
2024-11-10 00:01:00,12.672157
2024-11-10 00:02:00,12.654795
2024-11-10 00:03:00,12.639615
2024-11-10 00:04:00,12.607112
2024-11-10 00:05:00,12.596286
2024-11-10 00:06:00,12.578974
2024-11-10 00:07:00,12.563829
2024-11-10 00:08:00,12.557357
2024-11-10 00:09:00,12.555297
2024-11-10 00:10:00,12.553054
2024-11-10 00:11:00,12.555241
2024-11-10 00:12:00,12.550924
2024-11-10 00:13:00,12.555356
2024-11-10 00:14:00,12.559619
2024-11-10 00:15:00,12.555302
2024-11-10 00:16:00,12.5488
2024-11-10 00:17:00,12.533634
2024-11-10 00:18:00,12.511771
2024-11-10 00:19:00,12.494584
2024-11-10 00:20:00,12.146558
2024-11-10 00:21:00,12.122699
2024-11-10 00:22:00,12.092364
2024-11-10 00:23:00,12.077119
2024-11-10 00:24:00,12.068561
2024-11-10 00:25:00,12.055591
2024-11-10 00:26:00,12.0447855
2024-11-10 00:27:00,12.040477
2024-11-10 00:28:00,12.037788
2024-11-10 00:29:00,12.049173
2024-11-10 00:30:00,12.047028
2024-11-10 00:31:00,12.053534
2024-11-10 00:32:00,12.060042
2024-11-10 00:33:00,12.056535
2024-11-10 00:34:00,12.0644
2024-11-10 00:35:00,12.062235
2024-11-10 00:36:00,12.053558
2024-11-10 00:37:00,12.025384
2024-11-10 00:38:00,12.019119
2024-11-10 00:39:00,11.990652
2024-11-10 00:40:00,11.9711275
2024-11-10 00:41:00,11.966777
2024-11-10 00:42:00,11.94295
2024-11-10 00:43:00,11.931863
2024-11-10 00:44:00,11.927819
2024-11-10 00:45:00,11.921346
2024-11-10 00:46:00,11.92354
2024-11-10 00:47:00,11.921397
2024-11-10 00:48:00,11.919522
2024-11-10 00:49:00,11.923598
2024-11-10 00:50:00,11.932276
2024-11-10 00:51:00,11.923629
2024-11-10 00:52:00,11.932306
2024-11-10 00:53:00,11.927892
2024-11-10 00:54:00,11.930155
2024-11-10 00:55:00,11.927989
2024-11-10 00:56:00,11.927964
2024-11-10 00:57:00,11.91494
2024-11-10 00:58:00,11.882145
2024-11-10 00:59:00,11.871544
2024-11-10 01:00:00,11.845536
2024-11-10 01:01:00,11.826033
2024-11-10 01:02:00,11.82387
2024-11-10 01:03:00,11.819828
2024-11-10 01:04:00,11.819577
2024-11-10 01:05:00,11.81094
2024-11-10 01:06:00,11.819631
2024-11-10 01:07:00,11.813153
2024-11-10 01:08:00,11.813713
2024-11-10 01:09:00,11.817515
2024-11-10 01:10:00,11.824029
2024-11-10 01:11:00,11.826205
2024-11-10 01:12:00,11.82838
2024-11-10 01:13:00,11.828298
2024-11-10 01:14:00,11.834892
2024-11-10 01:15:00,11.84139
2024-11-10 01:16:00,11.8262205
2024-11-10 01:17:00,11.824109
2024-11-10 01:18:00,11.802321
2024-11-10 01:19:00,11.782789
2024-11-10 01:20:00,11.771921
2024-11-10 01:21:00,11.752418
2024-11-10 01:22:00,11.734738
